days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
1	24-Jan	7344066	7181657	162336	0	0	70	0	0	0	0	0	0	0	0	0	3	0	0	0		
2	25-Jan	7249992	6952068	297862	0	0	62	62	0	0	0	0	0	0	0	0	0	0	0	0		
3	26-Jan	7292570	6777594	514897	0	0	74	136	0	0	0	0	2	2	0	0	3	3	0	0		
4	27-Jan	7367578	6633484	734023	0	0	69	205	0	0	1	1	1	3	0	0	0	3	0	0		
5	28-Jan	7462833	6505517	957237	0	0	78	283	0	0	0	1	1	4	0	0	0	3	0	0		
6	29-Jan	7574559	6380943	1193557	0	0	56	339	0	0	0	1	1	5	0	0	2	5	0	0		
7	30-Jan	7627577	6272966	1354512	1	1	95	434	0	0	0	1	1	6	0	0	2	7	0	0		
8	31-Jan	7670984	6175514	1495383	0	1	86	520	0	0	0	1	0	6	0	0	1	8	0	0		
9	1-Feb	7715017	6081312	1633632	0	1	69	589	0	0	3	4	0	6	0	0	1	9	0	0		
10	2-Feb	7773819	5999643	1774125	0	1	47	636	0	0	3	7	0	6	0	0	1	10	0	0		
11	3-Feb	7818721	5913562	1905120	0	1	36	672	0	0	3	10	0	6	0	0	0	10	0	0		
12	4-Feb	7836549	5861546	1974930	3	4	64	736	0	0	0	10	2	8	0	0	3	13	1	1		
13	5-Feb	7680864	5809326	1871471	3	7	61	797	0	0	0	10	0	8	0	0	3	16	0	1		
14	6-Feb	7862005	5746202	2115730	3	10	57	854	0	0	10	20	0	8	0	0	3	19	0	1		
15	7-Feb	7899994	5850454	2049474	0	10	58	912	0	0	6	26	0	8	0	0	2	21	0	1		
16	8-Feb	7894272	5956850	1937371	0	10	44	956	0	0	7	33	0	8	0	0	0	21	0	1		
17	9-Feb	7895811	6146408	1749309	10	20	73	1029	0	0	1	34	0	8	0	0	10	31	0	1		
18	10-Feb	7893136	6341045	1552034	6	26	42	1071	0	0	3	37	0	8	0	0	6	37	0	1		
19	11-Feb	7893238	6545056	1348113	7	33	52	1123	0	0	3	40	0	8	0	0	7	44	0	1		
20	12-Feb	7891920	6761382	1130476	1	34	59	1182	0	0	0	40	0	8	0	0	1	45	1	2		
21	13-Feb	7886888	6900764	986065	3	37	52	1234	0	0	1	41	0	8	0	0	3	48	0	2		
22	14-Feb	7881280	7019284	861951	3	40	36	1270	0	0	3	44	0	8	0	0	3	51	0	2		
23	15-Feb	7880388	7137138	743203	0	40	45	1315	0	0	1	45	1	9	0	0	0	51	0	2		
24	16-Feb	7884286	7258193	626070	1	41	17	1332	0	0	3	48	0	9	0	0	1	52	1	3		
25	17-Feb	7885627	7371548	514054	3	44	15	1347	0	0	4	52	0	9	0	0	3	55	0	3		
26	18-Feb	7887578	7425879	461665	1	45	29	1376	0	0	0	52	0	9	0	0	2	57	2	5		
27	19-Feb	7887179	7468604	418535	3	48	31	1407	0	0	1	53	0	9	0	0	3	60	2	7		
28	20-Feb	7884334	7531151	353151	4	52	19	1426	0	0	4	57	1	10	0	0	4	64	0	7		
29	21-Feb	7881368	7606236	275102	0	52	24	1450	2	2	2	59	2	12	0	0	0	64	0	7		
30	22-Feb	7881507	7611005	270471	1	53	19	1469	1	3	3	62	0	12	0	0	1	65	6	13		
31	23-Feb	7887031	7621965	265016	4	57	32	1501	0	3	4	66	2	14	0	0	5	70	3	16		
32	24-Feb	7889220	7625957	263218	4	61	29	1530	0	3	2	68	0	14	2	2	4	74	4	20		
33	25-Feb	7891718	7629888	261790	4	65	31	1561	1	4	0	68	0	14	1	3	3	77	0	20		
34	26-Feb	7892963	7632719	260170	4	69	57	1618	0	4	1	69	0	14	0	3	6	83	6	26		
35	27-Feb	7892372	7631685	260607	2	71	69	1687	1	5	3	72	1	15	0	3	2	85	2	28		
36	28-Feb	7890130	7627805	262271	1	72	47	1734	1	6	0	72	0	15	1	4	0	85	4	32		
37	29-Feb	7891287	7626713	264521	1	73	48	1782	0	6	0	72	0	15	0	4	1	86	3	35		
38	1-Mar	7895648	7628870	266713	4	77	49	1831	3	9	0	72	1	16	1	5	4	90	3	38		
39	2-Mar	7897272	7629216	267999	1	78	55	1886	0	9	0	72	0	16	1	6	0	90	0	38		
40	3-Mar	7897352	7629281	268021	0	78	47	1933	1	10	1	73	1	17	0	6	0	90	0	38		
41	4-Mar	7897098	7627846	269194	3	81	43	1976	1	11	0	73	0	17	3	9	1	91	7	45		
42	5-Mar	7895279	7626010	269231	0	81	33	2009	3	14	1	74	1	18	0	9	0	91	0	45		
43	6-Mar	7894350	7624092	270206	2	83	38	2047	0	14	1	75	0	18	1	10	2	93	8	53		
44	7-Mar	7894853	7623600	271210	1	84	32	2079	0	14	0	75	5	23	1	11	0	93	4	57		
45	8-Mar	7900445	7628849	271549	4	88	25	2104	0	14	1	76	8	31	3	14	2	95	4	61		
46	9-Mar	7902752	7632140	270567	1	89	40	2144	0	14	0	76	2	33	0	14	1	96	1	62		
47	10-Mar	7905347	7635447	269844	0	89	40	2184	1	15	2	78	3	36	0	14	5	101	5	67		
48	11-Mar	7909418	7638933	270423	1	90	46	2230	0	15	1	79	3	39	0	14	9	110	2	69		
49	12-Mar	7911155	7641062	270032	0	90	44	2274	0	15	1	80	6	45	0	14	2	112	8	77		
50	13-Mar	7913479	7643080	270330	3	93	47	2321	1	16	1	81	7	52	1	15	5	117	4	81		
51	14-Mar	7916088	7648157	267855	1	94	58	2379	1	17	1	82	8	60	0	15	4	121	3	84		
52	15-Mar	7924318	7657380	266838	1	95	64	2443	0	17	12	94	13	73	0	15	7	128	3	87		
53	16-Mar	7929704	7661540	268052	2	97	81	2524	0	17	6	100	10	83	1	16	8	136	4	91		
54	17-Mar	7935513	7665894	269395	2	99	160	2684	2	19	20	120	26	109	1	17	9	145	4	95		
55	18-Mar	7944454	7671105	273119	12	111	173	2857	1	20	7	127	9	118	0	17	25	170	3	98		
56	19-Mar	7948486	7678567	269588	6	117	262	3119	2	22	21	148	21	139	0	17	16	186	3	101		
57	20-Mar	7953632	7687643	265613	22	139	267	3386	4	26	14	162	21	160	2	19	46	232	0	101		
58	21-Mar	7958042	7698394	259348	8	147	243	3629	3	29	14	176	13	173	1	20	16	248	2	103		
59	22-Mar	7962846	7714093	248398	23	170	265	3894	2	31	9	185	12	185	2	22	42	290	0	103		
60	23-Mar	7964402	7723102	240986	18	188	213	4107	1	32	18	203	24	209	4	26	35	325	1	104		
61	24-Mar	7968589	7729505	238724	17	205	248	4355	11	43	24	227	29	238	3	29	27	352	1	105		
62	25-Mar	7970641	7743994	226345	12	217	199	4554	14	57	19	246	31	269	2	31	21	373	4	109		
63	26-Mar	7970999	7756454	214210	19	236	210	4764	15	72	17	263	27	296	1	32	42	415	4	113		
64	27-Mar	7972426	7772404	199555	35	271	326	5090	13	85	9	272	19	315	11	43	53	468	1	114		
65	28-Mar	7975614	7790245	184938	33	304	302	5392	7	92	9	281	15	330	14	57	50	518	1	115		
66	29-Mar	7978243	7813858	164033	32	336	204	5596	10	102	18	299	23	353	15	72	44	562	6	121		
67	30-Mar	7980118	7834329	145492	22	358	191	5787	12	114	8	307	17	370	13	85	28	590	6	127		
68	31-Mar	7981424	7851664	129384	16	374	282	6069	12	126	13	320	18	388	7	92	24	614	4	131		
69	1-Apr	7982258	7871029	110934	28	402	180	6249	5	131	5	325	7	395	10	102	41	655	19	150		
70	2-Apr	7982805	7883257	99310	20	422	146	6395	8	139	2	327	18	413	12	114	25	680	7	157		
71	3-Apr	7983208	7896852	86120	25	447	125	6520	10	149	3	330	11	424	12	126	31	711	19	176		
72	4-Apr	7983608	7909418	73963	10	457	166	6686	5	154	8	338	8	432	5	131	12	723	13	189		
73	5-Apr	7984397	7921337	62793	10	467	184	6870	9	163	9	347	7	439	8	139	20	743	20	209		
74	6-Apr	7985013	7932195	52663	13	480	95	6965	1	164	3	350	9	448	10	149	14	757	10	219		
75	7-Apr	7985232	7946200	38842	13	493	120	7085	6	170	2	352	8	456	5	154	16	773	20	239		
76	8-Apr	7985985	7950642	35136	18	511	125	7210	4	174	1	353	6	462	9	163	16	789	28	267		
77	9-Apr	7986316	7954370	31806	4	515	90	7300	1	175	0	353	3	465	1	164	12	801	29	296		
