	Arrival				Departure				Net Difference			
	Hong Kong Residents	Mainland Visitors	Other Visitors	Total	Hong Kong Residents	Mainland Visitors	Other Visitors	Total	Hong Kong Residents	Mainland Visitors	Other Visitors	Total
24-Jan	"102,663"	"36,705"	"22,872"	"162,240"	"294,785"	"31,340"	"13,018"	"339,143"	"-192,122"	"5,365"	"9,854"	"-176,903"
25-Jan	"86,417"	"29,891"	"19,177"	"135,485"	"186,168"	"28,788"	"14,633"	"229,589"	"-99,751"	"1,103"	"4,544"	"-94,104"
26-Jan	"163,668"	"36,690"	"16,707"	"217,065"	"121,396"	"38,300"	"14,778"	"174,474"	"42,272"	"-1,610"	"1,929"	"42,591"
27-Jan	"177,470"	"28,780"	"12,816"	"219,066"	"90,477"	"34,703"	"18,930"	"144,110"	"86,993"	"-5,923"	"-6,114"	"74,956"
28-Jan	"188,788"	"24,156"	"10,248"	"223,192"	"81,904"	"29,546"	"16,517"	"127,967"	"106,884"	"-5,390"	"-6,269"	"95,225"
29-Jan	"197,572"	"27,780"	"10,998"	"236,350"	"76,646"	"32,785"	"15,143"	"124,574"	"120,926"	"-5,005"	"-4,145"	"111,776"
30-Jan	"132,506"	"19,555"	"8,862"	"160,923"	"68,079"	"24,828"	"15,070"	"107,977"	"64,427"	"-5,273"	"-6,208"	"52,946"
31-Jan	"116,544"	"16,058"	"8,257"	"140,859"	"67,506"	"18,994"	"10,952"	"97,452"	"49,038"	"-2,936"	"-2,695"	"43,407"
1-Feb	"115,122"	"13,382"	"9,760"	"138,264"	"65,847"	"15,399"	"12,956"	"94,202"	"49,275"	"-2,017"	"-3,196"	"44,062"
2-Feb	"122,399"	"11,715"	"6,399"	"140,513"	"57,341"	"14,385"	"9,943"	"81,669"	"65,058"	"-2,670"	"-3,544"	"58,844"
3-Feb	"111,033"	"13,461"	"6,510"	"131,004"	"62,735"	"15,246"	"8,100"	"86,081"	"48,298"	"-1,785"	"-1,590"	"44,923"
4-Feb	"54,816"	"9,511"	"5,485"	"69,812"	"34,405"	"11,276"	"6,335"	"52,016"	"20,411"	"-1,765"	-850	"17,796"
5-Feb	"44,566"	"8,760"	"5,458"	"58,784"	"36,217"	"9,877"	"6,126"	"52,220"	"8,349"	"-1,117"	-668	"6,564"
6-Feb	"65,122"	"11,009"	"5,886"	"82,017"	"46,220"	"10,651"	"6,253"	"63,124"	"18,902"	358	-367	"18,893"
7-Feb	"76,899"	"12,746"	"6,337"	"95,982"	"40,739"	"11,119"	"6,130"	"57,988"	"36,160"	"1,627"	207	"37,994"
8-Feb	"18,823"	995	"3,581"	"23,399"	"22,204"	"2,641"	"4,244"	"29,089"	"-3,381"	"-1,646"	-663	"-5,690"
9-Feb	"24,939"	956	"3,120"	"29,015"	"20,769"	"2,441"	"4,297"	"27,507"	"4,170"	"-1,485"	"-1,177"	"1,508"
10-Feb	"18,408"	832	"2,537"	"21,777"	"18,893"	"1,688"	"3,848"	"24,429"	-485	-856	"-1,311"	"-2,652"
11-Feb	"15,953"	738	"2,569"	"19,260"	"14,710"	"1,323"	"3,148"	"19,181"	"1,243"	-585	-579	79
12-Feb	"15,792"	729	"2,176"	"18,697"	"15,760"	"1,442"	"2,822"	"20,024"	32	-713	-646	"-1,327"
13-Feb	"13,312"	751	"2,458"	"16,521"	"17,404"	"1,433"	"2,704"	"21,541"	"-4,092"	-682	-246	"-5,020"
14-Feb	"13,507"	683	"2,574"	"16,764"	"18,160"	"1,603"	"2,576"	"22,339"	"-4,653"	-920	-2	"-5,575"
15-Feb	"16,089"	791	"2,629"	"19,509"	"16,580"	"1,130"	"2,700"	"20,410"	-491	-339	-71	-901
16-Feb	"20,325"	749	"2,319"	"23,393"	"14,896"	"1,189"	"3,373"	"19,458"	"5,429"	-440	"-1,054"	"3,935"
17-Feb	"15,990"	643	"2,368"	"19,001"	"13,934"	899	"2,816"	"17,649"	"2,056"	-256	-448	"1,352"
18-Feb	"14,383"	579	"2,451"	"17,413"	"12,015"	859	"2,607"	"15,481"	"2,368"	-280	-156	"1,932"
19-Feb	"12,801"	567	"2,290"	"15,658"	"12,969"	786	"2,304"	"16,059"	-168	-219	-14	-401
